m,p,mu,max_stages,alpha,tau,fdr_or,mdr_or,fdr_dd,mdr_dd,fdr_or_always,mdr_or_always,fdr_dd_always,mdr_dd_always,total_obs_or,total_obs_dd,total_obs_or_always,total_obs_dd_always
5000,0.05,1,5,0.05,2,0.04972946068465294,0.8942157314102531,0.03354530966465534,0.9549386434732355,0,1,0.0010666666666666667,0.9976794188605088,24985.502,24991.058,25000,25000
5000,0.05,1.2,5,0.05,2,0.04870906736840789,0.7104559628183319,0.03788105566581834,0.8445573847200929,0,0.994122189812914,0.0014365079365079364,0.9845296664568814,24937.248,24962.73,25000,25000
5000,0.05,1.4,5,0.05,2,0.05085062791812023,0.49589146827554753,0.037312941140094064,0.6158961914380423,0.004925118233796698,0.7936935109222946,0.0034309200904654555,0.9145337338101657,24846.532,24885.29,25000,25000
5000,0.05,1.6,5,0.05,2,0.0483175184867517,0.30906969937961304,0.0418524020153137,0.3680617605101229,0.010248872687609599,0.5088533199768073,0.004131350788868457,0.752558608445302,24730.038,24760.546,25000,25000
5000,0.05,1.8,5,0.05,2,0.05056423861437374,0.179846931025923,0.04726223543464304,0.20423376068655652,0.012653791461045111,0.30392263970133965,0.004396800411443085,0.5307320531209673,24605.294,24626.622,25000,25000
5000,0.05,2,5,0.05,2,0.049074115494106146,0.09638011389105842,0.04876615494505118,0.10469680872612665,0.012476779530392623,0.1737449872864217,0.004552795735168962,0.3238130651951439,24490.736,24503.566,25000,25000
5000,0.05,2.2,5,0.05,2,0.04887360952103996,0.04944353998442485,0.048758638572220445,0.052830160369510756,0.012163499140884338,0.09232469142389062,0.004863703730865334,0.16978504390560292,24388.382,24398.328,25000,25000
5000,0.05,2.4000000000000004,5,0.05,2,0.04872710713950056,0.025422711943379667,0.050641605701200174,0.025741792430176505,0.011906383267158682,0.04922921596173314,0.004722863808309932,0.07739282097940363,24300.588,24304.818,25000,25000
5000,0.05,2.6,5,0.05,2,0.04896824678520807,0.012005233030513904,0.051589608037648976,0.01171925821609953,0.010986078421281013,0.02401581963648967,0.004552712706286987,0.03058157464689166,24225.704,24227.864,25000,25000
5000,0.05,2.8,5,0.05,2,0.047946352539849496,0.006162462850352255,0.050762206045578843,0.0059789850678258856,0.009997913134282064,0.011095437672810786,0.004694910455592334,0.01010028197609989,24164.44,24164.28,25000,25000
5000,0.05,3,5,0.05,2,0.048329950657796356,0.0029323576346691124,0.051279641278838044,0.0028125482276517145,0.009567958045148352,0.0052182524490145595,0.0051761834171182575,0.00283198428597109,24116.156,24115.962,25000,25000
