m,p,max_stages,alpha,tau,fdr_or,mdr_or,fdr_dd,mdr_dd,fdr_or_always,mdr_or_always,fdr_dd_always,mdr_dd_always,total_obs_or,total_obs_dd,total_obs_or_always,total_obs_dd_always
5000,0.01,5,0.05,2,0.04152505022415362,0.3286972358129864,0.04544143551861697,0.40308584637977823,0.008076761550465255,0.4123681333095674,0.0038293926276532146,0.5010340849482064,24931.206,24939.352,25000,25000
5000,0.02,5,0.05,2,0.045858652908601784,0.2859659354496561,0.04552532078351543,0.3393823871518785,0.008053862197113817,0.37380457634582154,0.0044853053327921595,0.4651843486757624,24839.054,24850.3,25000,25000
5000,0.03,5,0.05,2,0.04747065947992057,0.25692648800489337,0.04702595836647191,0.30551936795391643,0.009240918607603617,0.34609438298073725,0.004638699583354494,0.4381866800904205,24735.648,24749.604,25000,25000
5000,0.04,5,0.05,2,0.04785012325501602,0.23982558808770715,0.0466589063485925,0.2875028701953716,0.009392758228843966,0.3291503709304855,0.00390060825023179,0.42138166192561455,24631.17,24649.65,25000,25000
5000,0.05,5,0.05,2,0.04852636243415689,0.2229072483784085,0.0461928996245235,0.26913734576506926,0.010003857361660552,0.31233961533320287,0.004764354947858261,0.40654921322649734,24514.192,24534.138,25000,25000
5000,0.060000000000000005,5,0.05,2,0.0503865498225141,0.2150341068584698,0.047639771464829936,0.2594656606599425,0.010178212755201954,0.3026580968549738,0.004303809827735416,0.39648902934820524,24400.988,24425.518,25000,25000
5000,0.06999999999999999,5,0.05,2,0.04874678642063028,0.20335326262896578,0.047471591291172115,0.24964117935600516,0.009604424919321246,0.29125912004666527,0.0047676411505434045,0.38536794784079176,24276.742,24305.02,25000,25000
5000,0.08,5,0.05,2,0.05017107238857506,0.19430125617451216,0.046948379882988035,0.24271203053751889,0.009944794775198332,0.28348206117668007,0.005093372608300662,0.37857067807014527,24153.294,24188.596,25000,25000
5000,0.09,5,0.05,2,0.04882688299040772,0.18712083696772422,0.04536018211989085,0.23859069440172917,0.010277900542427538,0.27647192717197716,0.004729525212505368,0.3718040293015043,24029.74,24072.786,25000,25000
5000,0.09999999999999999,5,0.05,2,0.05004830448916969,0.17840248695732733,0.04588659689827212,0.23031516329547996,0.010356484648905293,0.26510330105741325,0.00476373712523627,0.3612421396751138,23890.94,23940.55,25000,25000
