m,p,mu,max_stages,stage,alpha,tau,fdr_or,mdr_or,fdr_dd,mdr_dd,fdr_or_always,mdr_or_always,fdr_dd_always,mdr_dd_always
5000,0.05,2,10,1,0.05,2,0.05124358319400048,0.950618350454095,0.04562773861774539,0.9521189736771074,0,1,0,0.9998335313273303
5000,0.05,2,10,2,0.05,2,0.05091157210259736,0.5929043897186002,0.04524507298107416,0.6236531467443673,7.83684131959994e-4,0.969326033369161,9.079365079365079e-4,0.9835593671912162
5000,0.05,2,10,3,0.05,2,0.04861526120923844,0.2812927560951137,0.04337730820536551,0.3235663519406344,0.007281910760727561,0.590351663803195,0.0024334919417350045,0.8211159739341455
5000,0.05,2,10,4,0.05,2,0.04920198249712446,0.12051994445863828,0.04478882581411138,0.15952125200746115,0.010843744331689208,0.3208567082086624,0.0035507575767919058,0.5517404079366467
5000,0.05,2,10,5,0.05,2,0.04880132979113811,0.047560645086322254,0.045701547815923116,0.07945819470104239,0.012864854991626788,0.17369996209471167,0.004453909487958176,0.325867718321179
5000,0.05,2,10,6,0.05,2,0.048405387149099026,0.018128970758556087,0.04557037186503848,0.041707816742572734,0.013874945245072583,0.09361481898479768,0.005309654192507844,0.17528928541945799
5000,0.05,2,10,7,0.05,2,0.0486381014971352,0.0067683236552866545,0.045583428046375114,0.02369317212103699,0.014373884687286308,0.051356073165952636,0.0059239982106514865,0.0887457905501084
5000,0.05,2,10,8,0.05,2,0.04817746090330125,0.0023373361319225772,0.04491224430971074,0.014609131624211607,0.014720345432923344,0.028535787593074638,0.0065704746250173085,0.04220097221472593
5000,0.05,2,10,9,0.05,2,0.048169677793404,8.17441479923267e-4,0.04473228479746687,0.010163238377217181,0.014935578593419662,0.01623167972919564,0.007184485110785766,0.019923510169693695
5000,0.05,2,10,10,0.05,2,0.04811199104540525,2.4275995058317166e-4,0.04498196945980783,0.007779607659612429,0.015026688942744571,0.008814454480747337,0.007721236086557664,0.008491363801681357
